# unit;contract address;decimals
FLETA;0x7788d759f21f53533051a9ae657fa05a1e068fc6;18
FLG;0x5e040ac72140f0617bc24ab7134c0c6ecae0e965;18
FNB;0x47b28f365bf4cb38db4b6356864bde7bc4b35129;18
FOAM;0x4946fcea7c692606e8908002e55a582af44ac121;18
FOR;0x1fcdce58959f536621d76f5b7ffb955baa5a672f;18
FSN;0xd0352a019e9ab9d757776f532377aaebd36fd541;18
FST;0x310c93dfc1c5e34cdf51678103f63c41762089cd;6
FTM;0x4e15361fd6b4bb609fa63c81a2be19d873717870;18
FTT;0x50d1c9771902476076ecfc8b2a83ad6b9355a4c9;18
FUEL;0xea38eaa3c86c8f9b751533ba2e562deb9acded40;18
FUN;0x419d0d8bdd9af5e606ae2232ed285aff190e711b;8
FX;0x8c15ef5b4b21951d50e53e4fbda8298ffad25057;18
FXC;0x4a57e687b9126435a9b19e4a802113e266adebde;18
GAP;0xcd8544defedec7c6b60b5a4232320365b1b21fcc;18
GARD;0x5c64031c62061865e5fd0f53d3cdaef80f72e99d;18
GBC;0xc8058d59e208399b76e66da1ec669dd6b1bee2ea;10
GDC;0x301c755ba0fca00b1923768fffb3df7f4e63af31;18
GEN;0x543ff227f64aa17ea132bf9886cab5db55dcaddf;18
GET;0x8a854288a5976036a725879164ca3e91d30c6a1b;18
GMAT;0xa110eeebc0751407bdcaea4cd230f04a2b82a33a;18
GMB;0x1d464ac5e046e5fe280c9588edf8eb681b07008f;18
GNO;0x6810e776880c02933d47db1b9fc05908e5386b96;18
GNT;0xa74476443119a942de498590fe1f2454d7d4ac0d;18
GNX;0x6ec8a24cabdc339a06a172f8223ea557055adaa5;9
GNY;0x247551f2eb3362e222c742e9c788b8957d9bc87e;18
GOT;0x613fa2a6e6daa70c659060e86ba1443d2679c9d7;18
GRID;0x12b19d3e2ccc14da04fae33e63652ce469b3f2fd;12
GSC;0x228ba514309ffdf03a81a205a6d040e429d6e80c;18
GT;0xe66747a101bff2dba3697199dcce5b743b454759;18
GTC;0xb70835d7822ebb9426b56543e391846c107bd32c;18
GTO;0xc5bbae50781be1669306b9e001eff57a2957b09d;5
GUSD;0x056fd409e1d7a124bd7017459dfea2f387b6d5cd;2
GVT;0x103c3a209da59d3e7c4a89307e66521e081cfdf0;18
